,Ref,Title,Organization,Team_Name,Mapped_Team
48,I-355912,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
49,I-355911,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
50,I-355899,CENTREON : The service Load on srv-prd-cs-1..local is in state CRITICAL,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
51,I-355819,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
52,I-355762,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
53,I-355761,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
54,I-355737,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
55,I-355736,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
56,I-355499,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
57,I-355498,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
58,I-355440,DEV~ABAP : Expiring ABAP certificates,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
59,I-355394,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
60,I-355299,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
61,I-355297,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
62,I-355269,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
63,I-355267,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
64,I-355169,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
65,I-355058,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
66,I-355057,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
67,I-355039,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
68,I-355038,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
69,I-355027,PRD~ABAP : Batch Job Errors,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
70,I-355023,H4P : Licensed Memory Usage,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
71,I-354935,PRD~ABAP~srv-prd-as-1_PRD_10 : Bad Dialog Response Time,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
72,I-354889,srv-qua-db-1 : File System Full,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
73,I-354818,H4P : New OOM Trace Files,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
74,I-354810,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
75,I-354809,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
76,I-354744,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
77,I-354743,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
78,I-354733,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
79,I-354732,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
80,I-354687,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
81,I-354686,Alert of type [CPU] has been triggered by Cloud Connector,Als,[GDC_WW]_SAP_BC,[GDC_WW]_SAP_BC
